#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
rng_name|rands/second|   Seed            |    Multiplier   |     Increment     |
 QCG-64 |  5.78e+07  |3909821048582988151|90000000000000767|3909821048582988151|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.38422953|  PASSED
      diehard_operm5|   0|   1000000|     100|0.98532133|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.37037063|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.68062267|  PASSED
   diehard_bitstream|   0|   2097152|     100|0.79761275|  PASSED
        diehard_opso|   0|   2097152|     100|0.89091039|  PASSED
        diehard_oqso|   0|   2097152|     100|0.34356486|  PASSED
         diehard_dna|   0|   2097152|     100|0.51649620|  PASSED
diehard_count_1s_str|   0|    256000|     100|0.86405325|  PASSED
diehard_count_1s_byt|   0|    256000|     100|0.65300505|  PASSED
 diehard_parking_lot|   0|     12000|     100|0.58615511|  PASSED
    diehard_2dsphere|   2|      8000|     100|0.48520292|  PASSED
    diehard_3dsphere|   3|      4000|     100|0.79951268|  PASSED
     diehard_squeeze|   0|    100000|     100|0.92620069|  PASSED
        diehard_sums|   0|       100|     100|0.52772871|  PASSED
        diehard_runs|   0|    100000|     100|0.49544681|  PASSED
        diehard_runs|   0|    100000|     100|0.35590355|  PASSED
       diehard_craps|   0|    200000|     100|0.07530398|  PASSED
       diehard_craps|   0|    200000|     100|0.69213364|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.31554689|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000362|   WEAK
         sts_monobit|   1|    100000|     100|0.95741672|  PASSED
            sts_runs|   2|    100000|     100|0.71551363|  PASSED
          sts_serial|   1|    100000|     100|0.19300192|  PASSED
          sts_serial|   2|    100000|     100|0.69434722|  PASSED
          sts_serial|   3|    100000|     100|0.91083713|  PASSED
          sts_serial|   3|    100000|     100|0.51654567|  PASSED
          sts_serial|   4|    100000|     100|0.94615328|  PASSED
          sts_serial|   4|    100000|     100|0.27871895|  PASSED
          sts_serial|   5|    100000|     100|0.57970548|  PASSED
          sts_serial|   5|    100000|     100|0.96893685|  PASSED
          sts_serial|   6|    100000|     100|0.18933817|  PASSED
          sts_serial|   6|    100000|     100|0.46013114|  PASSED
          sts_serial|   7|    100000|     100|0.30127984|  PASSED
          sts_serial|   7|    100000|     100|0.35605774|  PASSED
          sts_serial|   8|    100000|     100|0.86051848|  PASSED
          sts_serial|   8|    100000|     100|0.60183725|  PASSED
          sts_serial|   9|    100000|     100|0.90346491|  PASSED
